Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TS_CFS_SmokeTest,Chrome 72.0.3626.121,,2019-04-02 11:12:42,2019-04-02 11:13:40,58.029s,PASSED
,,,,,,
Test Cases/RC/Login/TC_Login,Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:13:09,21.777s,PASSED
Start listener action : browserBeforeTestCase,Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.006s,PASSED
common = new com.jobsdb.common.CommonKeywords(),Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.004s,PASSED
login = new com.jobsdb.rc.login.Login(),Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.006s,PASSED
header = new com.jobsdb.rc.Header(),Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.005s,PASSED
omniture = new com.jobsdb.common.Omniture(),Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.004s,PASSED
loginTestData = new com.jobsdb.rc.login.LoginData(),Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.005s,PASSED
"RC_Url = common.GetTestEnv($GlobalVariable.G_env, ""RC"", $GlobalVariable.G_countryCode_RC)",Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.191s,PASSED
loginData = loginTestData.GetLoginData(accountType),Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:47,0.005s,PASSED
navigateToUrl(RC_Url),Chrome 72.0.3626.121,,2019-04-02 11:12:47,2019-04-02 11:12:50,3.112s,PASSED
omniture.AssertOmnitureEnabled(),Chrome 72.0.3626.121,,2019-04-02 11:12:50,2019-04-02 11:12:50,0.062s,PASSED
if (!(login.IsLoggedIn())),Chrome 72.0.3626.121,,2019-04-02 11:12:50,2019-04-02 11:13:09,18.132s,PASSED
Start listener action : browserAfterTestCase,Chrome 72.0.3626.121,,2019-04-02 11:13:09,2019-04-02 11:13:09,0.000s,PASSED
,,,,,,
Test Cases/RC/Billing/TC_Purchase_NormalFlow,Chrome 72.0.3626.121,TC_Purchase,2019-04-02 11:13:09,2019-04-02 11:13:39,29.999s,PASSED
Start listener action : browserBeforeTestCase,Chrome 72.0.3626.121,,2019-04-02 11:13:09,2019-04-02 11:13:09,0.002s,PASSED
packageSelect = new com.jobsdb.rc.billing.PackageSelect(),Chrome 72.0.3626.121,,2019-04-02 11:13:09,2019-04-02 11:13:09,0.003s,PASSED
packageCheckout = new com.jobsdb.rc.billing.PackageCheckout(),Chrome 72.0.3626.121,,2019-04-02 11:13:09,2019-04-02 11:13:09,0.003s,PASSED
header = new com.jobsdb.rc.Header(),Chrome 72.0.3626.121,,2019-04-02 11:13:09,2019-04-02 11:13:09,0.001s,PASSED
"callTestCase(findTestCase(""RC/Login/TC_Login""), [:], STOP_ON_FAILURE)",Chrome 72.0.3626.121,,2019-04-02 11:13:09,2019-04-02 11:13:19,9.772s,PASSED
header.GoToRCHomepage(),Chrome 72.0.3626.121,,2019-04-02 11:13:19,2019-04-02 11:13:27,7.996s,PASSED
if (header.IsPurchaseEnabled()),Chrome 72.0.3626.121,,2019-04-02 11:13:27,2019-04-02 11:13:39,12.086s,PASSED
Start listener action : browserAfterTestCase,Chrome 72.0.3626.121,,2019-04-02 11:13:39,2019-04-02 11:13:39,0.000s,PASSED
